# HD23 astrodust PAH, neutral: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 169
# lambda stride: every 1 of 1762
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  1.016230E-004  8.414000E-001  3.469632E-004
  1.016230E-004  8.913000E-001  3.675359E-004
  1.016230E-004  9.441000E-001  3.893037E-004
  1.016230E-004  1.000000E+000  4.123490E-004
  1.016230E-004  1.059000E+000  4.366716E-004
  1.016230E-004  1.122000E+000  4.626424E-004
  1.016230E-004  1.189000E+000  4.902614E-004
  1.016230E-004  1.259000E+000  5.191161E-004
  1.016230E-004  1.334000E+000  5.500309E-004
  1.016230E-004  1.413000E+000  5.825933E-004
  1.016230E-004  1.496000E+000  6.168031E-004
  1.016230E-004  1.585000E+000  6.534844E-004
  1.016230E-004  1.679000E+000  6.922249E-004
  1.016230E-004  1.778000E+000  7.330241E-004
  1.016230E-004  1.884000E+000  7.767061E-004
  1.016230E-004  1.995000E+000  8.224463E-004
  1.016230E-004  2.114000E+000  8.714805E-004
  1.016230E-004  2.239000E+000  9.229840E-004
  1.016230E-004  2.371000E+000  9.773685E-004
  1.016230E-004  2.512000E+000  1.035457E-003
  1.016230E-004  2.661000E+000  1.096838E-003
  1.016230E-004  2.818000E+000  1.161509E-003
  1.016230E-004  2.985000E+000  1.230295E-003
  1.016230E-004  3.162000E+000  1.303194E-003
  1.016230E-004  3.350000E+000  1.380616E-003
  1.016230E-004  3.548000E+000  1.462150E-003
  1.016230E-004  3.758000E+000  1.548616E-003
  1.016230E-004  3.981000E+000  1.640427E-003
  1.016230E-004  4.217000E+000  1.737579E-003
  1.016230E-004  4.467000E+000  1.840482E-003
  1.016230E-004  4.732000E+000  1.949547E-003
  1.016230E-004  5.012000E+000  2.064771E-003
  1.033167E-004  3.162000E-004  1.362332E-007
  1.033167E-004  3.350000E-004  1.443331E-007
  1.033167E-004  3.548000E-004  1.528638E-007
  1.033167E-004  3.758000E-004  1.619115E-007
  1.033167E-004  3.981000E-004  1.715193E-007
  1.033167E-004  4.217000E-004  1.816872E-007
  1.033167E-004  4.467000E-004  1.924582E-007
  1.033167E-004  4.731000E-004  2.038325E-007
  1.033167E-004  5.012000E-004  2.159392E-007
  1.033167E-004  5.309000E-004  2.287352E-007
  1.033167E-004  5.623000E-004  2.422636E-007
  1.033167E-004  5.957000E-004  2.566538E-007
  1.033167E-004  6.310000E-004  2.718625E-007
  1.033167E-004  6.683000E-004  2.879330E-007
  1.033167E-004  7.079000E-004  3.049943E-007
  1.033167E-004  7.499000E-004  3.230897E-007
  1.033167E-004  7.943000E-004  3.422192E-007
  1.033167E-004  8.414000E-004  3.625118E-007
  1.033167E-004  8.912000E-004  3.839678E-007
  1.033167E-004  9.441000E-004  4.067594E-007
  1.033167E-004  1.000000E-003  4.308435E-007
  1.033167E-004  1.059000E-003  4.562632E-007
  1.033167E-004  1.122000E-003  4.834063E-007
  1.033167E-004  1.188000E-003  5.118419E-007
