# lambda[um]  lamI_lam_total  lamI_lam_astrodust  lamI_lam_pah
  2.39900E+000   4.27327E-027   8.18828E-029   4.19139E-027
  2.42700E+000   4.35139E-027   8.39373E-029   4.26745E-027
  2.45500E+000   4.42658E-027   8.59727E-029   4.34060E-027
  2.48300E+000   4.50236E-027   8.79945E-029   4.41437E-027
  2.51200E+000   4.57798E-027   9.01552E-029   4.48783E-027
  2.54100E+000   4.65424E-027   9.22907E-029   4.56195E-027
  2.57000E+000   4.72787E-027   9.44060E-029   4.63347E-027
  2.60000E+000   4.80334E-027   9.66659E-029   4.70667E-027
  2.63000E+000   4.87592E-027   9.88975E-029   4.77703E-027
  2.66100E+000   4.95461E-027   1.01273E-028   4.85334E-027
  2.69100E+000   5.02822E-027   1.03460E-028   4.92476E-027
  2.72300E+000   5.10628E-027   1.05948E-028   5.00033E-027
  2.75400E+000   5.18217E-027   1.08245E-028   5.07392E-027
  2.78600E+000   5.26173E-027   1.10676E-028   5.15105E-027
  2.81800E+000   5.34239E-027   1.13171E-028   5.22922E-027
  2.85100E+000   5.42875E-027   1.15701E-028   5.31305E-027
  2.88400E+000   5.51864E-027   1.18302E-028   5.40034E-027
  2.91700E+000   5.61528E-027   1.20862E-028   5.49442E-027
  2.95100E+000   5.72515E-027   1.23550E-028   5.60160E-027
  2.98500E+000   5.85150E-027   1.26204E-028   5.72530E-027
  3.02000E+000   6.00901E-027   1.28973E-028   5.88004E-027
  3.05500E+000   6.21192E-027   1.31611E-028   6.08031E-027
  3.09000E+000   6.49583E-027   1.34106E-028   6.36173E-027
  3.12600E+000   6.94951E-027   1.36631E-028   6.81288E-027
  3.16200E+000   7.75988E-027   1.38926E-028   7.62095E-027
  3.19900E+000   9.57481E-027   1.41250E-028   9.43356E-027
  3.23600E+000   1.50123E-026   1.43457E-028   1.48688E-026
  3.27300E+000   4.38308E-026   1.45568E-028   4.36852E-026
  3.31100E+000   9.16110E-026   1.48015E-028   9.14629E-026
  3.35000E+000   2.18952E-026   1.53821E-028   2.17414E-026
  3.38800E+000   1.19852E-026   1.63726E-028   1.18215E-026
  3.42800E+000   9.14022E-027   1.65494E-028   8.97473E-027
  3.46700E+000   8.05328E-027   1.66861E-028   7.88642E-027
  3.50700E+000   7.51295E-027   1.64616E-028   7.34833E-027
  3.54800E+000   7.21767E-027   1.63524E-028   7.05414E-027
  3.58900E+000   7.04834E-027   1.60857E-028   6.88749E-027
  3.63100E+000   6.94899E-027   1.60593E-028   6.78840E-027
  3.67300E+000   6.89340E-027   1.61887E-028   6.73151E-027
  3.71500E+000   6.86474E-027   1.63273E-028   6.70147E-027
  3.75800E+000   6.85278E-027   1.64612E-028   6.68817E-027
  3.80200E+000   6.85418E-027   1.66039E-028   6.68815E-027
  3.84600E+000   6.86411E-027   1.67505E-028   6.69661E-027
  3.89100E+000   6.88054E-027   1.68880E-028   6.71166E-027
  3.93500E+000   6.90334E-027   1.70269E-028   6.73307E-027
  3.98100E+000   6.93028E-027   1.71777E-028   6.75851E-027
  4.02700E+000   6.96155E-027   1.73243E-028   6.78830E-027
  4.07400E+000   6.99650E-027   1.74709E-028   6.82179E-027
  4.12100E+000   7.03572E-027   1.76227E-028   6.85949E-027
  4.16900E+000   7.07732E-027   1.77731E-028   6.89959E-027
  4.21700E+000   7.12403E-027   1.79289E-028   6.94474E-027
  4.26600E+000   7.17372E-027   1.80931E-028   6.99279E-027
  4.31500E+000   7.22846E-027   1.82526E-028   7.04593E-027
  4.36500E+000   7.28884E-027   1.84220E-028   7.10462E-027
  4.41600E+000   7.35380E-027   1.85886E-028   7.16791E-027
  4.46700E+000   7.42625E-027   1.87613E-028   7.23864E-027
  4.51900E+000   7.50676E-027   1.89410E-028   7.31735E-027
  4.57100E+000   7.59554E-027   1.91170E-028   7.40437E-027
  4.62400E+000   7.69581E-027   1.93011E-028   7.50280E-027
  4.67700E+000   7.80869E-027   1.94787E-028   7.61391E-027
  4.73200E+000   7.94315E-027   1.96677E-028   7.74647E-027
  4.78600E+000   8.09522E-027   1.98481E-028   7.89673E-027
  4.84200E+000   8.28420E-027   2.00300E-028   8.08390E-027
  4.89800E+000   8.51550E-027   2.02157E-028   8.31335E-027
  4.95500E+000   8.81954E-027   2.03980E-028   8.61556E-027
  5.01200E+000   9.23706E-027   2.05752E-028   9.03131E-027
  5.07000E+000   9.88272E-027   2.07498E-028   9.67522E-027
  5.12900E+000   1.10194E-026   2.09235E-028   1.08102E-026
  5.18800E+000   1.32332E-026   2.10907E-028   1.30222E-026
  5.24800E+000   1.66627E-026   2.12552E-028   1.64501E-026
  5.30900E+000   1.65598E-026   2.14187E-028   1.63456E-026
  5.37000E+000   1.43717E-026   2.15754E-028   1.41559E-026
  5.43200E+000   1.37663E-026   2.17312E-028   1.35490E-026
  5.49500E+000   1.45383E-026   2.18939E-028   1.43193E-026
  5.55900E+000   1.68464E-026   2.20461E-028   1.66260E-026
  5.62300E+000   2.17194E-026   2.21915E-028   2.14975E-026
  5.68800E+000   2.80802E-026   2.23375E-028   2.78568E-026
  5.75400E+000   2.68400E-026   2.24794E-028   2.66152E-026
  5.82100E+000   2.39674E-026   2.26108E-028   2.37413E-026
  5.88800E+000   2.49009E-026   2.27486E-028   2.46734E-026
  5.95700E+000   2.99086E-026   2.28854E-028   2.96798E-026
  6.02600E+000   4.14050E-026   2.30195E-028   4.11748E-026
  6.09500E+000   6.79466E-026   2.31400E-028   6.77152E-026
  6.16600E+000   1.30114E-025   2.32722E-028   1.29881E-025
  6.23700E+000   1.68031E-025   2.33910E-028   1.67797E-025
  6.31000E+000   1.01954E-025   2.35105E-028   1.01719E-025
  6.38300E+000   6.31613E-026   2.36295E-028   6.29250E-026
  6.45700E+000   4.93699E-026   2.37477E-028   4.91324E-026
  6.53100E+000   4.64069E-026   2.38547E-028   4.61684E-026
  6.60700E+000   4.82352E-026   2.39661E-028   4.79955E-026
  6.68300E+000   5.06479E-026   2.40702E-028   5.04072E-026
  6.76100E+000   5.08109E-026   2.42056E-028   5.05688E-026
  6.83900E+000   4.98538E-026   2.48058E-028   4.96057E-026
  6.91800E+000   5.03272E-026   2.44802E-028   5.00824E-026
  6.99800E+000   5.34396E-026   2.44794E-028   5.31948E-026
  7.08000E+000   5.96061E-026   2.45693E-028   5.93604E-026
  7.16100E+000   6.88049E-026   2.46654E-028   6.85582E-026
  7.24400E+000   8.19096E-026   2.47578E-028   8.16620E-026
  7.32800E+000   1.00414E-025   2.48381E-028   1.00165E-025
  7.41300E+000   1.28498E-025   2.49261E-028   1.28249E-025
  7.49900E+000   1.72339E-025   2.50149E-028   1.72089E-025
  7.58600E+000   2.17095E-025   2.50885E-028   2.16844E-025
  7.67400E+000   2.21369E-025   2.51706E-028   2.21117E-025
  7.76200E+000   2.15865E-025   2.51745E-028   2.15613E-025
  7.85200E+000   2.09507E-025   2.52887E-028   2.09254E-025
  7.94300E+000   1.74110E-025   2.56376E-028   1.73854E-025
  8.03500E+000   1.31129E-025   2.62634E-028   1.30866E-025
  8.12800E+000   1.02145E-025   2.71630E-028   1.01873E-025
  8.22200E+000   8.73841E-026   2.84086E-028   8.71000E-026
  8.31800E+000   8.20252E-026   3.03728E-028   8.17215E-026
  8.41400E+000   8.32480E-026   3.22023E-028   8.29260E-026
  8.51100E+000   9.52942E-026   3.39377E-028   9.49548E-026
  8.61000E+000   1.06291E-025   3.49691E-028   1.05941E-025
  8.71000E+000   8.50824E-026   3.68393E-028   8.47140E-026
  8.81100E+000   6.03861E-026   4.04431E-028   5.99817E-026
  8.91300E+000   4.62171E-026   4.41240E-028   4.57759E-026
  9.01600E+000   3.83656E-026   4.75479E-028   3.78901E-026
  9.12000E+000   3.36748E-026   5.12562E-028   3.31623E-026
  9.22600E+000   3.06451E-026   5.51449E-028   3.00937E-026
