# lambda[um]  lamI_lam_total  lamI_lam_astrodust  lamI_lam_pah
  2.21300E+000   3.72859E-027   6.84606E-029   3.66013E-027
  2.23900E+000   3.80913E-027   7.03322E-029   3.73879E-027
  2.26500E+000   3.88825E-027   7.22103E-029   3.81604E-027
  2.29100E+000   3.96712E-027   7.40915E-029   3.89303E-027
  2.31700E+000   4.04318E-027   7.59701E-029   3.96721E-027
  2.34400E+000   4.11940E-027   7.79078E-029   4.04150E-027
  2.37100E+000   4.19870E-027   7.99126E-029   4.11879E-027
  2.39900E+000   4.27504E-027   8.19750E-029   4.19306E-027
  2.42700E+000   4.35322E-027   8.40270E-029   4.26919E-027
  2.45500E+000   4.42847E-027   8.60598E-029   4.34241E-027
  2.48300E+000   4.50433E-027   8.80789E-029   4.41625E-027
  2.51200E+000   4.58002E-027   9.02368E-029   4.48979E-027
  2.54100E+000   4.65636E-027   9.23693E-029   4.56399E-027
  2.57000E+000   4.73007E-027   9.44816E-029   4.63559E-027
  2.60000E+000   4.80562E-027   9.67384E-029   4.70888E-027
  2.63000E+000   4.87829E-027   9.89668E-029   4.77932E-027
  2.66100E+000   4.95707E-027   1.01339E-028   4.85573E-027
  2.69100E+000   5.03078E-027   1.03522E-028   4.92726E-027
  2.72300E+000   5.10894E-027   1.06007E-028   5.00293E-027
  2.75400E+000   5.18493E-027   1.08301E-028   5.07663E-027
  2.78600E+000   5.26461E-027   1.10728E-028   5.15388E-027
  2.81800E+000   5.34538E-027   1.13220E-028   5.23217E-027
  2.85100E+000   5.43187E-027   1.15746E-028   5.31613E-027
  2.88400E+000   5.52190E-027   1.18343E-028   5.40356E-027
  2.91700E+000   5.61870E-027   1.20899E-028   5.49780E-027
  2.95100E+000   5.72874E-027   1.23583E-028   5.60516E-027
  2.98500E+000   5.85529E-027   1.26233E-028   5.72906E-027
  3.02000E+000   6.01306E-027   1.28998E-028   5.88406E-027
  3.05500E+000   6.21630E-027   1.31632E-028   6.08467E-027
  3.09000E+000   6.50067E-027   1.34122E-028   6.36654E-027
  3.12600E+000   6.95507E-027   1.36644E-028   6.81843E-027
  3.16200E+000   7.76673E-027   1.38935E-028   7.62779E-027
  3.19900E+000   9.58453E-027   1.41254E-028   9.44328E-027
  3.23600E+000   1.50306E-026   1.43457E-028   1.48871E-026
  3.27300E+000   4.38948E-026   1.45563E-028   4.37493E-026
  3.31100E+000   9.17517E-026   1.48006E-028   9.16037E-026
  3.35000E+000   2.19250E-026   1.53808E-028   2.17712E-026
  3.38800E+000   1.19992E-026   1.63707E-028   1.18355E-026
  3.42800E+000   9.14965E-027   1.65471E-028   8.98418E-027
  3.46700E+000   8.06098E-027   1.66834E-028   7.89415E-027
  3.50700E+000   7.51981E-027   1.64586E-028   7.35523E-027
  3.54800E+000   7.22409E-027   1.63490E-028   7.06060E-027
  3.58900E+000   7.05452E-027   1.60820E-028   6.89370E-027
  3.63100E+000   6.95504E-027   1.60554E-028   6.79449E-027
  3.67300E+000   6.89938E-027   1.61844E-028   6.73754E-027
