# DL07 PAH, neutral: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1823
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  6.352744E-005  2.818383E+000  2.082139E-004
  6.352744E-005  3.162278E+000  2.336165E-004
  6.352744E-005  3.548134E+000  2.621180E-004
  6.352744E-005  3.981072E+000  2.940961E-004
  6.352744E-005  4.466836E+000  3.299745E-004
  6.352744E-005  5.011872E+000  3.702284E-004
  6.402633E-005  3.548134E-004  2.709135E-008
  6.402633E-005  3.981072E-004  3.039697E-008
  6.402633E-005  4.466836E-004  3.410592E-008
  6.402633E-005  5.011872E-004  3.826744E-008
  6.402633E-005  5.623413E-004  4.293674E-008
  6.402633E-005  6.309573E-004  4.817578E-008
  6.402633E-005  7.079458E-004  5.405409E-008
  6.402633E-005  7.943282E-004  6.064965E-008
  6.402633E-005  8.912509E-004  6.804999E-008
  6.402633E-005  1.000000E-003  7.635331E-008
  6.402633E-005  1.122018E-003  8.566979E-008
  6.402633E-005  1.258925E-003  9.612305E-008
  6.402633E-005  1.412538E-003  1.078518E-007
  6.402633E-005  1.584893E-003  1.210117E-007
  6.402633E-005  1.778279E-003  1.357773E-007
  6.402633E-005  1.995262E-003  1.523446E-007
  6.402633E-005  2.238721E-003  1.709334E-007
  6.402633E-005  2.511886E-003  1.917904E-007
  6.402633E-005  2.818383E-003  2.151924E-007
  6.402633E-005  3.162278E-003  2.414498E-007
  6.402633E-005  3.548134E-003  2.709110E-007
  6.402633E-005  3.981072E-003  3.039672E-007
  6.402633E-005  4.466836E-003  3.410567E-007
  6.402633E-005  5.011872E-003  3.826719E-007
  6.402633E-005  5.623413E-003  4.293649E-007
  6.402633E-005  6.309573E-003  4.817553E-007
  6.402633E-005  7.079458E-003  5.405383E-007
  6.402633E-005  7.943282E-003  6.064938E-007
  6.402633E-005  8.912509E-003  6.804972E-007
  6.402633E-005  1.000000E-002  7.635304E-007
  6.402633E-005  1.122018E-002  8.566951E-007
  6.402633E-005  1.258925E-002  9.612276E-007
  6.402633E-005  1.412538E-002  1.078515E-006
  6.402633E-005  1.584893E-002  1.210114E-006
  6.402633E-005  1.778279E-002  1.357770E-006
  6.402633E-005  1.995262E-002  1.523442E-006
  6.402633E-005  2.238721E-002  1.709330E-006
  6.402633E-005  2.511886E-002  1.917900E-006
  6.402633E-005  2.818383E-002  2.151919E-006
  6.402633E-005  3.162278E-002  2.414492E-006
  6.402633E-005  3.548134E-002  2.709104E-006
  6.402633E-005  3.981072E-002  3.039664E-006
  6.402633E-005  4.466836E-002  3.410559E-006
  6.402633E-005  5.011872E-002  3.826709E-006
  6.402633E-005  5.623413E-002  4.293637E-006
  6.402633E-005  6.309573E-002  4.817538E-006
  6.402633E-005  7.079458E-002  5.405365E-006
  6.402633E-005  7.943282E-002  6.064917E-006
  6.402633E-005  8.912509E-002  6.804946E-006
  6.402633E-005  1.000000E-001  7.635272E-006
  6.402633E-005  1.122018E-001  8.566911E-006
  6.402633E-005  1.258925E-001  9.612227E-006
  6.402633E-005  1.412538E-001  1.078509E-005
  6.402633E-005  1.584893E-001  1.210106E-005
  6.402633E-005  1.778279E-001  1.357760E-005
  6.402633E-005  1.995262E-001  1.523430E-005
  6.402633E-005  2.238721E-001  1.709315E-005
  6.402633E-005  2.511886E-001  1.917881E-005
  6.402633E-005  2.818383E-001  2.151895E-005
  6.402633E-005  3.162278E-001  2.414462E-005
  6.402633E-005  3.548134E-001  2.709067E-005
  6.402633E-005  3.981072E-001  3.039617E-005
  6.402633E-005  4.466836E-001  3.410500E-005
  6.402633E-005  5.011872E-001  3.826635E-005
  6.402633E-005  5.623413E-001  4.293543E-005
