# DL07 silicate: Mie on the D03 astrosilicate dielectric function
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  9.441000E-002  7.943282E-004  9.615833E-002  9.614966E-002  8.670733E-006  9.017142E-005  4.555070E-004
  9.441000E-002  8.912509E-004  1.079550E-001  1.079413E-001  1.374497E-005  1.273213E-004  5.733751E-004
  9.441000E-002  1.000000E-003  1.212173E-001  1.211955E-001  2.178975E-005  1.797577E-004  7.217221E-004
  9.441000E-002  1.122018E-003  1.361348E-001  1.361003E-001  3.454497E-005  2.537555E-004  9.084187E-004
  9.441000E-002  1.258925E-003  1.529248E-001  1.528700E-001  5.477043E-005  3.581528E-004  1.143363E-003
  9.441000E-002  1.412538E-003  1.718370E-001  1.717502E-001  8.684434E-005  5.053878E-004  1.439003E-003
  9.441000E-002  1.584893E-003  1.931607E-001  1.930230E-001  1.377134E-004  7.129473E-004  1.810985E-003
  9.441000E-002  1.778279E-003  2.172325E-001  2.170141E-001  2.184015E-004  1.005381E-003  2.278983E-003
  9.441000E-002  1.995262E-003  2.444475E-001  2.441011E-001  3.464048E-004  1.417093E-003  2.867727E-003
  9.441000E-002  2.238721E-003  2.752727E-001  2.747232E-001  5.494948E-004  1.996183E-003  3.608311E-003
  9.441000E-002  2.511886E-003  3.102656E-001  3.093939E-001  8.717514E-004  2.809694E-003  4.539843E-003
  9.441000E-002  2.818383E-003  3.500976E-001  3.487145E-001  1.383125E-003  3.950685E-003  5.711548E-003
  9.441000E-002  3.162278E-003  3.955844E-001  3.933899E-001  2.194561E-003  5.547644E-003  7.185472E-003
  9.441000E-002  3.548134E-003  4.477254E-001  4.442436E-001  3.481823E-003  7.776692E-003  9.040000E-003
  9.441000E-002  3.981072E-003  5.077516E-001  5.022289E-001  5.522788E-003  1.087695E-002  1.137452E-002
  9.441000E-002  4.466836E-003  5.771824E-001  5.684272E-001  8.755195E-003  1.516885E-002  1.431577E-002
  9.441000E-002  5.011872E-003  6.578832E-001  6.440188E-001  1.386441E-002  2.107428E-002  1.802669E-002
  9.441000E-002  5.623413E-003  7.521067E-001  7.301940E-001  2.191267E-002  2.913505E-002  2.271924E-002
  9.441000E-002  6.309573E-003  8.624763E-001  8.279574E-001  3.451886E-002  4.002297E-002  2.867349E-002
  9.441000E-002  7.079458E-003  9.918254E-001  9.377427E-001  5.408265E-002  5.452840E-002  3.626697E-002
  9.441000E-002  7.943282E-003  1.142741E+000  1.058742E+000  8.399894E-002  7.350654E-002  4.602034E-002
  9.441000E-002  8.912509E-003  1.316586E+000  1.187887E+000  1.286986E-001  9.775181E-002  5.866829E-002
  9.441000E-002  1.000000E-002  1.511798E+000  1.318639E+000  1.931587E-001  1.277676E-001  7.526594E-002
  9.441000E-002  1.122018E-002  1.721644E+000  1.440300E+000  2.813438E-001  1.634158E-001  9.733363E-002
  9.441000E-002  1.258925E-002  1.932637E+000  1.539349E+000  3.932875E-001  2.034979E-001  1.270100E-001
  9.441000E-002  1.412538E-002  2.126135E+000  1.604249E+000  5.218857E-001  2.454621E-001  1.670908E-001
  9.441000E-002  1.584893E-002  2.285082E+000  1.632428E+000  6.526543E-001  2.856152E-001  2.206658E-001
  9.441000E-002  1.778279E-002  2.403362E+000  1.633836E+000  7.695256E-001  3.201872E-001  2.899492E-001
  9.441000E-002  1.995262E-002  2.490569E+000  1.626189E+000  8.643794E-001  3.470610E-001  3.740903E-001
  9.441000E-002  2.238721E-002  2.565810E+000  1.623383E+000  9.424277E-001  3.673022E-001  4.661260E-001
  9.441000E-002  2.511886E-002  2.638929E+000  1.622473E+000  1.016456E+000  3.851774E-001  5.509207E-001
  9.441000E-002  2.818383E-002  2.694715E+000  1.604557E+000  1.090157E+000  4.045538E-001  6.125911E-001
  9.441000E-002  3.162278E-002  2.715795E+000  1.565069E+000  1.150727E+000  4.237163E-001  6.521928E-001
  9.441000E-002  3.548134E-002  2.718272E+000  1.526737E+000  1.191535E+000  4.383429E-001  6.859042E-001
  9.441000E-002  3.981072E-002  2.718659E+000  1.493972E+000  1.224687E+000  4.504746E-001  7.189301E-001
  9.441000E-002  4.466836E-002  2.702792E+000  1.450368E+000  1.252425E+000  4.633817E-001  7.428659E-001
  9.441000E-002  5.011872E-002  2.679605E+000  1.409326E+000  1.270279E+000  4.740545E-001  7.620385E-001
  9.441000E-002  5.623413E-002  2.654446E+000  1.368852E+000  1.285594E+000  4.843172E-001  7.792407E-001
  9.441000E-002  6.309573E-002  2.624546E+000  1.328156E+000  1.296390E+000  4.939482E-001  7.924121E-001
  9.441000E-002  7.079458E-002  2.594622E+000  1.289279E+000  1.305343E+000  5.030956E-001  8.040002E-001
  9.441000E-002  7.943282E-002  2.564107E+000  1.252261E+000  1.311846E+000  5.116192E-001  8.134157E-001
  9.441000E-002  8.912509E-002  2.533482E+000  1.216588E+000  1.316894E+000  5.197959E-001  8.213055E-001
  9.441000E-002  1.000000E-001  2.503583E+000  1.183089E+000  1.320494E+000  5.274416E-001  8.279652E-001
  9.441000E-002  1.122018E-001  2.474435E+000  1.151620E+000  1.322815E+000  5.345928E-001  8.335314E-001
  9.441000E-002  1.258925E-001  2.446178E+000  1.122111E+000  1.324068E+000  5.412801E-001  8.381955E-001
  9.441000E-002  1.412538E-001  2.418955E+000  1.094541E+000  1.324413E+000  5.475147E-001  8.421114E-001
  9.441000E-002  1.584893E-001  2.392855E+000  1.068862E+000  1.323993E+000  5.533109E-001  8.454010E-001
  9.441000E-002  1.778279E-001  2.367923E+000  1.044989E+000  1.322934E+000  5.586896E-001  8.481642E-001
  9.441000E-002  1.995262E-001  2.344182E+000  1.022838E+000  1.321345E+000  5.636698E-001  8.504808E-001
  9.441000E-002  2.238721E-001  2.321645E+000  1.002325E+000  1.319321E+000  5.682696E-001  8.524206E-001
  9.441000E-002  2.511886E-001  2.300302E+000  9.833571E-001  1.316945E+000  5.725097E-001  8.540403E-001
  9.441000E-002  2.818383E-001  2.280135E+000  9.658433E-001  1.314292E+000  5.764096E-001  8.553881E-001
  9.441000E-002  3.162278E-001  2.261116E+000  9.496938E-001  1.311422E+000  5.799889E-001  8.565044E-001
  9.441000E-002  3.548134E-001  2.243212E+000  9.348209E-001  1.308391E+000  5.832667E-001  8.574234E-001
  9.441000E-002  3.981072E-001  2.226384E+000  9.211404E-001  1.305244E+000  5.862617E-001  8.581740E-001
  9.441000E-002  4.466836E-001  2.210592E+000  9.085712E-001  1.302020E+000  5.889918E-001  8.587810E-001
  9.441000E-002  5.011872E-001  2.195791E+000  8.970357E-001  1.298755E+000  5.914748E-001  8.592653E-001
  9.441000E-002  5.623413E-001  2.181936E+000  8.864604E-001  1.295476E+000  5.937276E-001  8.596451E-001
  9.441000E-002  6.309573E-001  2.168983E+000  8.767754E-001  1.292207E+000  5.957665E-001  8.599358E-001
  9.441000E-002  7.079458E-001  2.156884E+000  8.679147E-001  1.288969E+000  5.976071E-001  8.601508E-001
  9.441000E-002  7.943282E-001  2.145594E+000  8.598160E-001  1.285778E+000  5.992644E-001  8.603015E-001
  9.441000E-002  8.912509E-001  2.135070E+000  8.524208E-001  1.282649E+000  6.007527E-001  8.603979E-001
  9.441000E-002  1.000000E+000  2.125265E+000  8.456741E-001  1.279591E+000  6.020854E-001  8.604484E-001
  9.441000E-002  1.122018E+000  2.116140E+000  8.395244E-001  1.276615E+000  6.032755E-001  8.604605E-001
  9.441000E-002  1.258925E+000  2.107651E+000  8.339238E-001  1.273727E+000  6.043350E-001  8.604406E-001
  9.441000E-002  1.412538E+000  2.099759E+000  8.288272E-001  1.270932E+000  6.052752E-001  8.603942E-001
  9.441000E-002  1.584893E+000  2.092428E+000  8.241929E-001  1.268235E+000  6.061069E-001  8.603261E-001
  9.441000E-002  1.778279E+000  2.085619E+000  8.199822E-001  1.265637E+000  6.068400E-001  8.602404E-001
  9.441000E-002  1.995262E+000  2.079300E+000  8.161591E-001  1.263141E+000  6.074837E-001  8.601406E-001
  9.441000E-002  2.238721E+000  2.073437E+000  8.126902E-001  1.260746E+000  6.080467E-001  8.600298E-001
