# DL07 silicate: Mie on the D03 astrosilicate dielectric function
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1823
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  6.254131E-005  7.079458E-003  3.902992E-005  3.506132E-005  3.968599E-006  1.016809E-001  9.999861E-001
  6.254131E-005  7.943282E-003  4.433552E-005  3.933935E-005  4.996170E-006  1.126900E-001  9.999888E-001
  6.254131E-005  8.912509E-003  5.042916E-005  4.413936E-005  6.289801E-006  1.247255E-001  9.999909E-001
  6.254131E-005  1.000000E-002  5.744341E-005  4.952503E-005  7.918377E-006  1.378466E-001  9.999927E-001
  6.254131E-005  1.122018E-002  6.553643E-005  5.556781E-005  9.968623E-006  1.521081E-001  9.999941E-001
  6.254131E-005  1.258925E-002  7.489758E-005  6.234787E-005  1.254971E-005  1.675583E-001  9.999952E-001
  6.254131E-005  1.412538E-002  8.575425E-005  6.995516E-005  1.579909E-005  1.842368E-001  9.999962E-001
  6.254131E-005  1.584893E-002  9.838038E-005  7.849060E-005  1.988978E-005  2.021722E-001  9.999969E-001
  6.254131E-005  1.778279E-002  1.131070E-004  8.806743E-005  2.503961E-005  2.213797E-001  9.999975E-001
  6.254131E-005  1.995262E-002  1.303355E-004  9.881268E-005  3.152279E-005  2.418588E-001  9.999980E-001
