# DL07 graphite: Mie on the D03 graphite dielectric functions, 1/3 E||c + 2/3 E-perp-c
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  9.550000E-002  3.981072E-002  2.982499E+000  1.430383E+000  1.552115E+000  5.204077E-001  6.547571E-001
  9.550000E-002  4.466836E-002  2.932317E+000  1.371333E+000  1.560984E+000  5.323382E-001  6.754464E-001
  9.550000E-002  5.011872E-002  2.887263E+000  1.325887E+000  1.561376E+000  5.407808E-001  6.945627E-001
  9.550000E-002  5.623413E-002  2.842580E+000  1.278289E+000  1.564291E+000  5.503066E-001  7.112072E-001
  9.550000E-002  6.309573E-002  2.795947E+000  1.234307E+000  1.561640E+000  5.585369E-001  7.237199E-001
  9.550000E-002  7.079458E-002  2.751329E+000  1.191969E+000  1.559361E+000  5.667663E-001  7.348662E-001
  9.550000E-002  7.943282E-002  2.707912E+000  1.153292E+000  1.554620E+000  5.741029E-001  7.438335E-001
  9.550000E-002  8.912509E-002  2.665126E+000  1.115910E+000  1.549216E+000  5.812920E-001  7.511572E-001
  9.550000E-002  1.000000E-001  2.624351E+000  1.081229E+000  1.543122E+000  5.880015E-001  7.573448E-001
  9.550000E-002  1.122018E-001  2.585269E+000  1.048907E+000  1.536362E+000  5.942755E-001  7.624248E-001
  9.550000E-002  1.258925E-001  2.547862E+000  1.018674E+000  1.529187E+000  6.001846E-001  7.665854E-001
  9.550000E-002  1.412538E-001  2.512211E+000  9.904571E-001  1.521754E+000  6.057429E-001  7.699915E-001
  9.550000E-002  1.584893E-001  2.478350E+000  9.641779E-001  1.514172E+000  6.109597E-001  7.727693E-001
  9.550000E-002  1.778279E-001  2.446262E+000  9.397222E-001  1.506540E+000  6.158538E-001  7.750223E-001
  9.550000E-002  1.995262E-001  2.415899E+000  9.169747E-001  1.498924E+000  6.204416E-001  7.768283E-001
  9.550000E-002  2.238721E-001  2.387247E+000  8.958621E-001  1.491385E+000  6.247300E-001  7.782618E-001
