# Wavelength, tau_Ad/NH, tau_PAH/NH, tau_total/NH
# [Microns] [cm^2/H] [cm^2/H] [cm^2/H]
6.6104e+00 1.4582e-23 2.9831e-25 1.4881e-23
6.6943e+00 1.4524e-23 3.0483e-25 1.4829e-23
6.7794e+00 1.4548e-23 2.9878e-25 1.4846e-23
6.8655e+00 1.4630e-23 2.9075e-25 1.4921e-23
6.9527e+00 1.4381e-23 2.9411e-25 1.4675e-23
7.0411e+00 1.4284e-23 3.1338e-25 1.4598e-23
7.1305e+00 1.4222e-23 3.4951e-25 1.4572e-23
7.2211e+00 1.4162e-23 4.0427e-25 1.4566e-23
7.3128e+00 1.4095e-23 4.8385e-25 1.4579e-23
7.4057e+00 1.4032e-23 6.0685e-25 1.4639e-23
7.4998e+00 1.3970e-23 8.0426e-25 1.4774e-23
7.5951e+00 1.3901e-23 9.8406e-25 1.4885e-23
7.6916e+00 1.3828e-23 9.7578e-25 1.4803e-23
7.7893e+00 1.3734e-23 9.2901e-25 1.4663e-23
7.8883e+00 1.3737e-23 8.3058e-25 1.4568e-23
7.9885e+00 1.3899e-23 6.3927e-25 1.4538e-23
8.0900e+00 1.4232e-23 4.7626e-25 1.4708e-23
8.1927e+00 1.4756e-23 3.8604e-25 1.5142e-23
8.2968e+00 1.5633e-23 3.4921e-25 1.5983e-23
8.4022e+00 1.6567e-23 3.4668e-25 1.6913e-23
8.5090e+00 1.7431e-23 3.9228e-25 1.7823e-23
8.6171e+00 1.7910e-23 4.2565e-25 1.8335e-23
8.7265e+00 1.8930e-23 3.2177e-25 1.9251e-23
8.8374e+00 2.0768e-23 2.2161e-25 2.0990e-23
8.9497e+00 2.2585e-23 1.6703e-25 2.2752e-23
9.0634e+00 2.4348e-23 1.3676e-25 2.4485e-23
9.1785e+00 2.6227e-23 1.1813e-25 2.6345e-23
9.2951e+00 2.8036e-23 1.0556e-25 2.8142e-23
9.4132e+00 2.9515e-23 9.6511e-26 2.9612e-23
9.5328e+00 3.0553e-23 8.9689e-26 3.0642e-23
9.6539e+00 3.1142e-23 8.4393e-26 3.1227e-23
9.7765e+00 3.1292e-23 8.0232e-26 3.1373e-23
9.9007e+00 3.1004e-23 7.6971e-26 3.1081e-23
1.0027e+01 3.0327e-23 7.4451e-26 3.0402e-23
1.0154e+01 2.9334e-23 7.2627e-26 2.9406e-23
1.0283e+01 2.8185e-23 7.1546e-26 2.8257e-23
1.0414e+01 2.7033e-23 7.1402e-26 2.7104e-23
1.0546e+01 2.5929e-23 7.2759e-26 2.6002e-23
1.0680e+01 2.4868e-23 7.6213e-26 2.4944e-23
1.0815e+01 2.3835e-23 8.2514e-26 2.3918e-23
1.0953e+01 2.2801e-23 9.8268e-26 2.2899e-23
1.1092e+01 2.1736e-23 1.4622e-25 2.1883e-23
1.1233e+01 2.0589e-23 3.1422e-25 2.0903e-23
1.1376e+01 1.9397e-23 2.3540e-25 1.9632e-23
1.1520e+01 1.8346e-23 1.5654e-25 1.8502e-23
1.1667e+01 1.7405e-23 1.1920e-25 1.7524e-23
1.1815e+01 1.6515e-23 1.1715e-25 1.6632e-23
1.1965e+01 1.5624e-23 1.2379e-25 1.5747e-23
1.2117e+01 1.4738e-23 1.1855e-25 1.4857e-23
1.2271e+01 1.3923e-23 1.1309e-25 1.4037e-23
1.2427e+01 1.3254e-23 1.2564e-25 1.3380e-23
1.2585e+01 1.2808e-23 1.4971e-25 1.2957e-23
1.2744e+01 1.2598e-23 1.3631e-25 1.2734e-23
1.2906e+01 1.2498e-23 9.8934e-26 1.2597e-23
1.3070e+01 1.2373e-23 8.1619e-26 1.2455e-23
1.3236e+01 1.2275e-23 7.6984e-26 1.2352e-23
1.3404e+01 1.2179e-23 7.8383e-26 1.2257e-23
1.3575e+01 1.2091e-23 7.4127e-26 1.2165e-23
1.3747e+01 1.2021e-23 6.4624e-26 1.2086e-23
1.3922e+01 1.1977e-23 5.9246e-26 1.2037e-23
1.4099e+01 1.1964e-23 6.0201e-26 1.2025e-23
1.4278e+01 1.1984e-23 5.7353e-26 1.2041e-23
1.4459e+01 1.2045e-23 5.0643e-26 1.2095e-23
1.4643e+01 1.2153e-23 4.7593e-26 1.2201e-23
1.4829e+01 1.2315e-23 4.5991e-26 1.2361e-23
1.5017e+01 1.2528e-23 4.4993e-26 1.2573e-23
1.5208e+01 1.2785e-23 4.4355e-26 1.2829e-23
1.5401e+01 1.3081e-23 4.4029e-26 1.3125e-23
1.5597e+01 1.3408e-23 4.4119e-26 1.3452e-23
1.5795e+01 1.3753e-23 4.5011e-26 1.3798e-23
1.5996e+01 1.4111e-23 4.6192e-26 1.4157e-23
1.6199e+01 1.4469e-23 4.9466e-26 1.4518e-23
1.6405e+01 1.4816e-23 6.4927e-26 1.4881e-23
1.6613e+01 1.5137e-23 5.9363e-26 1.5196e-23
1.6824e+01 1.5421e-23 5.9843e-26 1.5481e-23
1.7038e+01 1.5655e-23 6.1703e-26 1.5717e-23
1.7254e+01 1.5835e-23 6.0762e-26 1.5896e-23
1.7474e+01 1.5960e-23 5.4851e-26 1.6015e-23
1.7696e+01 1.6030e-23 4.7308e-26 1.6077e-23
1.7921e+01 1.6044e-23 4.3185e-26 1.6087e-23
1.8148e+01 1.6002e-23 3.9127e-26 1.6042e-23
1.8379e+01 1.5904e-23 3.6670e-26 1.5941e-23
1.8612e+01 1.5750e-23 3.5475e-26 1.5785e-23
1.8849e+01 1.5538e-23 3.5949e-26 1.5574e-23
1.9088e+01 1.5271e-23 3.4124e-26 1.5305e-23
1.9331e+01 1.4970e-23 3.1951e-26 1.5002e-23
1.9576e+01 1.4634e-23 3.0810e-26 1.4665e-23
1.9825e+01 1.4281e-23 2.9953e-26 1.4311e-23
2.0077e+01 1.3943e-23 2.9213e-26 1.3972e-23
2.0332e+01 1.3635e-23 2.8541e-26 1.3664e-23
2.0590e+01 1.3343e-23 2.7917e-26 1.3371e-23
2.0852e+01 1.3070e-23 2.7330e-26 1.3098e-23
2.1117e+01 1.2811e-23 2.6772e-26 1.2837e-23
2.1385e+01 1.2548e-23 2.6241e-26 1.2574e-23
2.1657e+01 1.2284e-23 2.5732e-26 1.2309e-23
