# Polarized extinction per H: this code vs HD23 release
# lambda[um]  ours[cm^2/H]  reference[cm^2/H]  ratio
  3.268500E+02  8.761699E-27  8.765900E-27  9.995207E-01
  3.310000E+02  8.569826E-27  8.574300E-27  9.994782E-01
  3.352100E+02  8.379868E-27  8.381300E-27  9.998292E-01
  3.394700E+02  8.188142E-27  8.192200E-27  9.995046E-01
  3.437800E+02  8.005858E-27  8.008600E-27  9.996576E-01
  3.481500E+02  7.831417E-27  7.834300E-27  9.996320E-01
  3.525700E+02  7.658496E-27  7.659800E-27  9.998298E-01
  3.570500E+02  7.485616E-27  7.488600E-27  9.996015E-01
  3.615800E+02  7.318642E-27  7.320500E-27  9.997462E-01
  3.661800E+02  7.156896E-27  7.158500E-27  9.997760E-01
  3.708300E+02  7.001068E-27  7.004400E-27  9.995243E-01
  3.755400E+02  6.843223E-27  6.846500E-27  9.995213E-01
  3.803100E+02  6.696079E-27  6.698200E-27  9.996833E-01
  3.851400E+02  6.543156E-27  6.545700E-27  9.996114E-01
  3.900400E+02  6.399757E-27  6.403500E-27  9.994155E-01
  3.949900E+02  6.261201E-27  6.263800E-27  9.995851E-01
  4.000100E+02  6.124798E-27  6.126900E-27  9.996569E-01
  4.050900E+02  5.990701E-27  5.992300E-27  9.997332E-01
  4.102400E+02  5.860667E-27  5.862400E-27  9.997045E-01
  4.154500E+02  5.732453E-27  5.733900E-27  9.997477E-01
  4.207300E+02  5.604593E-27  5.606600E-27  9.996421E-01
  4.260700E+02  5.486425E-27  5.487800E-27  9.997494E-01
  4.314900E+02  5.366501E-27  5.368900E-27  9.995531E-01
  4.369700E+02  5.246265E-27  5.249100E-27  9.994600E-01
  4.425200E+02  5.136156E-27  5.137300E-27  9.997774E-01
  4.481400E+02  5.024822E-27  5.025700E-27  9.998253E-01
  4.538300E+02  4.917587E-27  4.918400E-27  9.998348E-01
  4.596000E+02  4.810703E-27  4.811800E-27  9.997720E-01
  4.654400E+02  4.704980E-27  4.706900E-27  9.995921E-01
  4.713500E+02  4.605545E-27  4.607400E-27  9.995973E-01
  4.773400E+02  4.504451E-27  4.506800E-27  9.994787E-01
  4.834000E+02  4.409526E-27  4.410800E-27  9.997112E-01
  4.895400E+02  4.314405E-27  4.315700E-27  9.997000E-01
