# MRN (1977) model SED (this work), Mathis ISRF U =  1.00
# graphite + silicate spheres, dn/da = A_i a^-3.5, 0.005 - 0.25 um, Mie on the D03 dielectric functions
# normalization: Draine & Lee (1984), log10 A = -25.16 (graphite), -25.11 (silicate) [cm^2.5/H]
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  2.917000E+00  6.60823050E-052  6.60823050E-052  2.65423504E-063
  2.951000E+00  1.24052927E-051  1.24052927E-051  6.40833881E-063
  2.985000E+00  2.29752397E-051  2.29752397E-051  1.51930850E-062
  3.020000E+00  4.27448967E-051  4.27448967E-051  3.62736653E-062
  3.055000E+00  7.84778965E-051  7.84778965E-051  8.50571092E-062
  3.090000E+00  1.42254961E-050  1.42254961E-050  1.96004084E-061
  3.126000E+00  2.59055509E-050  2.59055509E-050  4.54856297E-061
  3.162000E+00  4.65970759E-050  4.65970759E-050  1.03781340E-060
  3.199000E+00  8.41334959E-050  8.41334959E-050  2.38110797E-060
  3.236000E+00  1.50065152E-049  1.50065152E-049  5.37097827E-060
  3.273000E+00  2.64544819E-049  2.64544819E-049  1.19148364E-059
  3.311000E+00  4.68040641E-049  4.68040641E-049  2.65475809E-059
  3.350000E+00  8.30663221E-049  8.30663221E-049  5.94013326E-059
  3.388000E+00  1.43661468E-048  1.43661468E-048  1.28143815E-058
  3.428000E+00  2.52868807E-048  2.52868807E-048  2.83038468E-058
  3.467000E+00  4.34145426E-048  4.34145426E-048  6.03231031E-058
  3.507000E+00  7.47719386E-048  7.47719386E-048  1.29061007E-057
  3.548000E+00  1.29131190E-047  1.29131190E-047  2.77007240E-057
  3.589000E+00  2.20660479E-047  2.20660479E-047  5.85394553E-057
  3.631000E+00  3.78002200E-047  3.78002200E-047  1.24040815E-056
  3.673000E+00  6.41080177E-047  6.41080176E-047  2.58815253E-056
  3.715000E+00  1.07664078E-046  1.07664078E-046  5.32048950E-056
  3.758000E+00  1.81232901E-046  1.81232901E-046  1.09623785E-055
  3.802000E+00  3.05666828E-046  3.05666828E-046  2.26255279E-055
  3.846000E+00  5.10425050E-046  5.10425049E-046  4.60105674E-055
  3.891000E+00  8.53881928E-046  8.53881927E-046  9.36844410E-055
  3.935000E+00  1.39919745E-045  1.39919745E-045  1.85136265E-054
  3.981000E+00  2.32203479E-045  2.32203479E-045  3.71946690E-054
  4.027000E+00  3.81628350E-045  3.81628349E-045  7.36611393E-054
  4.074000E+00  6.27859553E-045  6.27859551E-045  1.45949556E-053
  4.121000E+00  1.02307758E-044  1.02307758E-044  2.85129458E-053
  4.169000E+00  1.66836202E-044  1.66836202E-044  5.56720666E-053
  4.217000E+00  2.69488773E-044  2.69488772E-044  1.07182072E-052
  4.266000E+00  4.35476203E-044  4.35476201E-044  2.06307652E-052
  4.315000E+00  6.97078330E-044  6.97078327E-044  3.91748999E-052
  4.365000E+00  1.11593031E-043  1.11593030E-043  7.43502067E-052
  4.416000E+00  1.78600979E-043  1.78600977E-043  1.40982062E-051
  4.467000E+00  2.83224785E-043  2.83224782E-043  2.63936159E-051
  4.519000E+00  4.48944481E-043  4.48944476E-043  4.93668389E-051
  4.571000E+00  7.04953406E-043  7.04953397E-043  9.11303581E-051
  4.624000E+00  1.10608309E-042  1.10608307E-042  1.68002019E-050
  4.677000E+00  1.71936989E-042  1.71936986E-042  3.05766658E-050
  4.732000E+00  2.69159907E-042  2.69159902E-042  5.61779310E-050
  4.786000E+00  4.14173014E-042  4.14173004E-042  1.00842258E-049
  4.842000E+00  6.41782661E-042  6.41782642E-042  1.82802706E-049
  4.898000E+00  9.85187151E-042  9.85187119E-042  3.27211777E-049
  4.955000E+00  1.50973087E-041  1.50973081E-041  5.84421626E-049
  5.012000E+00  2.29212927E-041  2.29212917E-041  1.03130227E-048
  5.070000E+00  3.47230774E-041  3.47230756E-041  1.81729267E-048
  5.129000E+00  5.24916444E-041  5.24916412E-041  3.19436762E-048
  5.188000E+00  7.86356877E-041  7.86356821E-041  5.55271530E-048
