# THEMIS (Jones et al. 2013 / Koehler et al. 2014) model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_CM20/NH  lamI_CM20/NH  lamI_aPyM5/NH  lamI_aOlM5/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  2.856900E+00  6.99847207E-027  6.99847065E-027  1.40734252E-033  2.53191201E-036  2.66813734E-036
  2.903800E+00  7.26538467E-027  7.26538317E-027  1.49831832E-033  3.13423977E-036  3.30310011E-036
  2.951500E+00  7.75678928E-027  7.75678767E-027  1.60054758E-033  3.86669796E-036  4.07538275E-036
  3.000000E+00  8.28165162E-027  8.28164990E-027  1.70957695E-033  4.74781450E-036  5.00446771E-036
  3.015900E+00  8.55685602E-027  8.55685426E-027  1.74873858E-033  5.07156551E-036  5.34589168E-036
  3.032000E+00  8.88529805E-027  8.88529625E-027  1.78994780E-033  5.41813735E-036  5.71140718E-036
  3.048100E+00  9.28000283E-027  9.28000099E-027  1.83316310E-033  5.78451376E-036  6.09773690E-036
  3.064300E+00  9.76306587E-027  9.76306398E-027  1.87908569E-033  6.17426387E-036  6.50889176E-036
  3.080600E+00  1.03622062E-026  1.03622043E-026  1.92812198E-033  6.58928597E-036  6.94657503E-036
  3.096900E+00  1.11215813E-026  1.11215793E-026  1.98116423E-033  7.02879295E-036  7.41025348E-036
  3.113400E+00  1.21053792E-026  1.21053772E-026  2.03998177E-033  7.50078809E-036  7.90805003E-036
  3.130000E+00  1.34260549E-026  1.34260528E-026  2.10661326E-033  8.00638521E-036  8.44129964E-036
  3.146600E+00  1.52246094E-026  1.52246072E-026  2.18370985E-033  8.54698192E-036  9.01149136E-036
  3.163300E+00  1.77931013E-026  1.77930990E-026  2.27774096E-033  9.13326809E-036  9.62999520E-036
  3.180100E+00  2.16605233E-026  2.16605209E-026  2.39961989E-033  9.77859504E-036  1.03106665E-035
  3.197000E+00  2.77417541E-026  2.77417515E-026  2.56866255E-033  1.05059203E-035  1.10779715E-035
  3.214000E+00  3.83686108E-026  3.83686079E-026  2.83326001E-033  1.13707503E-035  1.19904716E-035
  3.231100E+00  5.80040478E-026  5.80040445E-026  3.28794442E-033  1.24845678E-035  1.31654263E-035
  3.248300E+00  9.77525481E-026  9.77525439E-026  4.16870988E-033  1.41275034E-035  1.48987467E-035
  3.265500E+00  1.64841641E-025  1.64841635E-025  5.64578757E-033  1.65504524E-035  1.74548760E-035
  3.282900E+00  1.93133796E-025  1.93133789E-025  6.35047810E-033  1.82690454E-035  1.92682027E-035
  3.300300E+00  1.31481658E-025  1.31481653E-025  5.13298662E-033  1.77530186E-035  1.87240570E-035
  3.317900E+00  8.00050358E-026  8.00050317E-026  4.09968330E-033  1.73915623E-035  1.83429817E-035
  3.335500E+00  5.87267617E-026  5.87267580E-026  3.70938294E-033  1.78219896E-035  1.87973216E-035
  3.353200E+00  5.89601844E-026  5.89601806E-026  3.79756536E-033  1.89409001E-035  1.99780173E-035
  3.371100E+00  9.12087253E-026  9.12087206E-026  4.63215444E-033  2.12696233E-035  2.24349913E-035
  3.389000E+00  9.05115969E-026  9.05115921E-026  4.74519419E-033  2.26483920E-035  2.38899742E-035
  3.407000E+00  9.33627300E-026  9.33627249E-026  5.03590800E-033  2.46177204E-035  2.59679356E-035
  3.425100E+00  1.04013167E-025  1.04013162E-025  5.46493985E-033  2.67996911E-035  2.82703207E-035
  3.443300E+00  7.59047385E-026  7.59047336E-026  4.78941495E-033  2.67145685E-035  2.81807903E-035
  3.461600E+00  6.96169481E-026  6.96169433E-026  4.70459769E-033  2.78664782E-035  2.93964175E-035
  3.480000E+00  7.47690330E-026  7.47690281E-026  4.89664528E-033  2.95943182E-035  3.12195459E-035
