# THEMIS (Jones et al. 2013 / Koehler et al. 2014) model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_CM20_plaw-ed/NH  lamI_CM20_logn/NH  lamI_aPyM5/NH  lamI_aOlM5/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.132600E-01  3.81900374E-027  3.81900371E-027  2.71550397E-035  1.92845848E-049  2.09401641E-049
  9.282600E-01  3.81191376E-027  3.81191373E-027  2.88900248E-035  3.56913011E-049  3.87284372E-049
  9.435100E-01  3.81078703E-027  3.81078700E-027  3.07191944E-035  6.59907669E-049  7.15588227E-049
  9.590100E-01  3.79615719E-027  3.79615716E-027  3.25379667E-035  1.21847090E-048  1.32015228E-048
  9.747600E-01  3.79351483E-027  3.79351480E-027  3.44811827E-035  2.25037247E-048  2.43561405E-048
  9.907700E-01  3.77742119E-027  3.77742115E-027  3.64024470E-035  4.15353316E-048  4.49063951E-048
  1.007000E+00  3.77059895E-027  3.77059891E-027  3.84311040E-035  7.65866156E-048  8.27072830E-048
  1.023600E+00  3.75541870E-027  3.75541866E-027  4.04706457E-035  1.41690435E-047  1.52827058E-047
  1.040400E+00  3.74544222E-027  3.74544217E-027  4.25910165E-035  2.61387371E-047  2.81577710E-047
  1.057500E+00  3.73288803E-027  3.73288799E-027  4.47470640E-035  4.82054969E-047  5.18607333E-047
  1.074900E+00  3.72168526E-027  3.72168521E-027  4.69688340E-035  8.88096292E-047  9.54210096E-047
  1.092500E+00  3.71333994E-027  3.71333989E-027  4.92599915E-035  1.62748771E-046  1.74645686E-046
  1.110500E+00  3.70251807E-027  3.70251802E-027  5.16008011E-035  2.98319155E-046  3.19735065E-046
  1.128700E+00  3.69991800E-027  3.69991794E-027  5.40689699E-035  5.43074881E-046  5.81391433E-046
  1.147200E+00  3.69104903E-027  3.69104897E-027  5.65434144E-035  9.83499290E-046  1.05172809E-045
  1.166100E+00  3.69532891E-027  3.69532885E-027  5.92459738E-035  1.77776325E-045  1.89910608E-045
  1.185200E+00  3.69191288E-027  3.69191282E-027  6.19343976E-035  3.18116557E-045  3.39498813E-045
  1.204700E+00  3.70193081E-027  3.70193074E-027  6.48915808E-035  5.67271095E-045  6.04854657E-045
  1.224500E+00  3.70698787E-027  3.70698781E-027  6.78974680E-035  1.00333163E-044  1.06889588E-044
  1.244600E+00  3.72147480E-027  3.72147472E-027  7.11483552E-035  1.76073923E-044  1.87431586E-044
  1.265100E+00  3.73574926E-027  3.73574918E-027  7.45589195E-035  3.07106955E-044  3.26680870E-044
  1.285800E+00  3.75528561E-027  3.75528554E-027  7.81858627E-035  5.29520647E-044  5.62895790E-044
  1.307000E+00  3.77890737E-027  3.77890729E-027  8.20928088E-035  9.09318828E-044  9.66031230E-044
  1.328400E+00  3.80393815E-027  3.80393806E-027  8.62105568E-035  1.54263992E-043  1.63788337E-043
  1.350200E+00  3.83685454E-027  3.83685445E-027  9.07155993E-035  2.59911042E-043  2.75805500E-043
  1.372400E+00  3.86727581E-027  3.86727572E-027  9.54573175E-035  4.34467235E-043  4.60805995E-043
  1.395000E+00  3.90951063E-027  3.90951053E-027  1.00725630E-034  7.21049842E-043  7.64419438E-043
  1.417900E+00  3.94587280E-027  3.94587270E-027  1.06208037E-034  1.18402332E-042  1.25466996E-042
  1.441200E+00  3.99573672E-027  3.99573660E-027  1.12342478E-034  1.93017732E-042  2.04451085E-042
  1.464800E+00  4.04022306E-027  4.04022294E-027  1.18764828E-034  3.11332256E-042  3.29648481E-042
  1.488900E+00  4.09428531E-027  4.09428519E-027  1.25871931E-034  4.99335598E-042  5.28522732E-042
  1.513400E+00  4.14643015E-027  4.14643002E-027  1.33437362E-034  7.94059787E-042  8.40190452E-042
  1.538200E+00  4.20346596E-027  4.20346582E-027  1.41631636E-034  1.25031808E-041  1.32253704E-041
  1.563500E+00  4.26202498E-027  4.26202483E-027  1.50465245E-034  1.95605119E-041  2.06836286E-041
  1.589200E+00  4.32141863E-027  4.32141847E-027  1.59947522E-034  3.03460107E-041  3.20793419E-041
