# Guillet et al. (2018) Model D model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_PAH0_MC10/NH  lamI_amCBE_0.3333x/NH  lamI_aSil2001BE6pctG_0.4x/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  1.328400E+00  5.07422173E-028  5.07422173E-028  6.90517542E-058  2.01607980E-075
  1.350200E+00  5.29398383E-028  5.29398383E-028  2.06905924E-057  9.30876726E-075
  1.372400E+00  5.52061620E-028  5.52061620E-028  6.11918178E-057  4.22313106E-074
  1.395000E+00  5.75336018E-028  5.75336018E-028  1.78255036E-056  1.87970443E-073
  1.417900E+00  5.99015614E-028  5.99015614E-028  5.09095794E-056  8.15628896E-073
  1.441200E+00  6.23342162E-028  6.23342162E-028  1.43259419E-055  3.47320822E-072
  1.464800E+00  6.48137359E-028  6.48137359E-028  3.95593245E-055  1.44313244E-071
  1.488900E+00  6.73627701E-028  6.73627701E-028  1.08241077E-054  5.92680702E-071
  1.513400E+00  6.99677675E-028  6.99677675E-028  2.92046254E-054  2.39049011E-070
  1.538200E+00  7.26179481E-028  7.26179481E-028  7.74295618E-054  9.42013485E-070
  1.563500E+00  7.53386667E-028  7.53386667E-028  2.03374018E-053  3.66809575E-069
  1.589200E+00  7.81096065E-028  7.81096065E-028  5.27476794E-053  1.40427511E-068
  1.615300E+00  8.09383397E-028  8.09383397E-028  1.35177747E-052  5.28782438E-068
  1.641800E+00  8.38245837E-028  8.38245837E-028  3.42533543E-052  1.95925962E-067
  1.668800E+00  8.67742291E-028  8.67742291E-028  8.61702067E-052  7.17991191E-067
  1.696200E+00  8.97653690E-028  8.97653690E-028  2.14600674E-051  2.59043756E-066
  1.724000E+00  9.28035619E-028  9.28035619E-028  5.29478602E-051  9.20176361E-066
  1.752400E+00  9.59141143E-028  9.59141143E-028  1.30382217E-050  3.24832336E-065
  1.781100E+00  9.90410993E-028  9.90410993E-028  3.17907727E-050  1.12508492E-064
  1.810400E+00  1.02241122E-027  1.02241122E-027  7.73763752E-050  3.86883694E-064
  1.840100E+00  1.05475810E-027  1.05475810E-027  1.86840044E-049  1.30917845E-063
  1.870400E+00  1.08774930E-027  1.08774930E-027  4.50316474E-049  4.39352195E-063
  1.901100E+00  1.12100005E-027  1.12100005E-027  1.07649721E-048  1.44956135E-062
  1.932300E+00  1.15478381E-027  1.15478381E-027  2.55786626E-048  4.71752152E-062
  1.964100E+00  1.18916745E-027  1.18916745E-027  6.05631205E-048  1.51938616E-061
  1.996300E+00  1.22371993E-027  1.22371993E-027  1.42042558E-047  4.80538096E-061
  2.029100E+00  1.25891296E-027  1.25891296E-027  3.31469605E-047  1.50209235E-060
  2.062400E+00  1.29447481E-027  1.29447481E-027  7.67024962E-047  4.62260781E-060
  2.096300E+00  1.33060009E-027  1.33060009E-027  1.76447726E-046  1.40509488E-059
  2.130700E+00  1.36708831E-027  1.36708831E-027  4.02137892E-046  4.20217499E-059
  2.165700E+00  1.40399480E-027  1.40399480E-027  9.08927789E-046  1.23959566E-058
  2.201300E+00  1.44137588E-027  1.44137588E-027  2.03587004E-045  3.60479452E-058
  2.237500E+00  1.47936109E-027  1.47936109E-027  4.51594745E-045  1.03309543E-057
  2.274200E+00  1.51789572E-027  1.51789572E-027  9.89571477E-045  2.90892029E-057
  2.311600E+00  1.55739399E-027  1.55739399E-027  2.15169332E-044  8.09387272E-057
  2.349600E+00  1.59759268E-027  1.59759268E-027  4.62630309E-044  2.21751722E-056
  2.388100E+00  1.63831359E-027  1.63831359E-027  9.81351203E-044  5.96604030E-056
  2.427400E+00  1.68060027E-027  1.68060027E-027  2.06505298E-043  1.58814011E-055
  2.467200E+00  1.72367851E-027  1.72367851E-027  4.28519804E-043  4.15114820E-055
  2.507800E+00  1.76836172E-027  1.76836172E-027  8.82831822E-043  1.07403646E-054
  2.549000E+00  1.81414741E-027  1.81414741E-027  1.79659256E-042  2.73560523E-054
  2.590800E+00  1.86137586E-027  1.86137586E-027  3.61040501E-042  6.85902373E-054
  2.633400E+00  1.91132831E-027  1.91132831E-027  7.18756652E-042  1.70027077E-053
  2.676600E+00  1.96430660E-027  1.96430660E-027  1.41273699E-041  4.14958362E-053
  2.720600E+00  2.02153879E-027  2.02153879E-027  2.75019285E-041  1.00122372E-052
  2.765300E+00  2.08474529E-027  2.08474529E-027  5.29405195E-041  2.38371067E-052
  2.810700E+00  2.15673922E-027  2.15673922E-027  1.00748910E-040  5.60033060E-052
